Language;Achi;Aguacateco;Akateko;Chorti;Chuj;Garifuna
number of vowels;10;10;10;5;5;6
lax/tense vowels;no;no;no;no;no;no
vowel length;yes;yes;yes;no;no;no
schwa;no;no;no;no;no;yes
harmony;no;no;no;no;no;no
tone;no;no;no;no;no;no
number of pronominal series;2;2;2;2;2;2
SetA_1sg;prefix;prefix;circumfix;prefix;prefix;N/A
SetA_2sg;prefix;prefix;prefix;prefix;prefix;N/A
SetA_3sg;prefix;prefix;prefix;prefix;prefix;N/A
SetA_1pl;prefix;prefix;circumfix;prefix;prefix;N/A
SetA_2pl;prefix;prefix;circumfix;prefix;prefix;N/A
SetA_3pl;prefix;prefix;prefix;prefix;prefix;N/A
SetA_values;prefix;prefix;mixed;prefix;prefix;N/A
SetA_values;praeposition;praeposition;mixed;praeposition;praeposition;N/A
SetB_1sg;prefix;prefix;circumfix;suffix;prefix;N/A
SetB_2sg;prefix;prefix;prefix/suffix;suffix;prefix;N/A
SetB_3sg;Ø;Ø;Ø;Ø;Ø;N/A
SetB_1pl;prefix;prefix;suffix/circumfix;suffix;prefix;N/A
SetB_2pl;prefix;prefix;circumfix;suffix;prefix;N/A
SetB_3pl;prefix;prefix;Ø;suffix;Ø;N/A
SetB_values_position;prefix;prefix;mixed;suffix;prefix;N/A
SetB_values_zero;3sg;3sg;3sg + 3pl;3sg;3sg + 3pl;N/A
circumfix set A + set B;no;no;yes;yes;no;not applicable
order of basic constituents;OSV;OSV;OSV, SVO;SVO;OSV;SVO
clusiveness_1pl;absent;absent;present;absent;absent;absent
clusiveness_2pl;no;no;no;no;no;no
formal_you_2sg;no;=3sg + u';no;no;no;no
formal_you_2pl;no;=3pl + u';no;no;no;no
values;absent;present;absent;absent;absent;absent
number of noun classifiers;19;15;8;6;6;2
type of classifiers;personal/inanimate;personal/inanimate;personal;personal;personal;personal
personal_distinction_of_classifiers;gender & age;gender;gender & age & married;gender & age;gender & age;gender
free_use of classifiers;yes;yes;N/A;yes;yes;no
obligatority of classifiers;N/A;N/A;yes;yes;N/A;no
ergative_split in main_clause incpl;no;no;no;yes;yes;not applicable
ergative_split in main_clause prog;no;no;no;yes;yes;not applicable
