Family;Group;Language;Location;Altitude;Longitude
Mayan;Greater Tseltalan;Chorti;Jocotán;14.816667;-89.383333
Mayan;Greater Tseltalan;Chorti;Camotán;14.816667;-89.366667
Mayan;Greater Tseltalan;Chorti;Olopa;14.683333;-89.35
Mayan;Greater Tseltalan;Chorti;Chiquimula;14.783333;-89.533333
Mayan;Greater Tseltalan;Chorti;San Juan Ermita;14.766667;-89.433333
Mayan;K'ichean;K'iche';Joyabaj;14.995;-90.8075
Mayan;K'ichean;K'iche';Cuyotenango;14.542075;-91.572334
Mayan;K'ichean;K'iche';Acatenango;14.554444;-90.943889
Mayan;K'ichean;K'iche';San Bernardino;14.533333;-91.45
Mayan;K'ichean;K'iche';San José El Ídolo;14.45;-91.416667
Mayan;K'ichean;K'iche';Zacualpa;15.027222;-90.877778
Mayan;K'ichean;K'iche';Las Cruces;16.658333;-90.295
Mayan;K'ichean;K'iche';Cubulco;15.108333;-90.630556
Mayan;K'ichean;K'iche';Santa María Chiquimula;15.029167;-91.329444
Mayan;K'ichean;K'iche';San Antonio Ilotenango;15.054444;-91.228611
Mayan;K'ichean;K'iche';Santa Cruz del Quiché;15.05;-91.25
Mayan;K'ichean;K'iche';Chiché;15.010556;-91.065
Mayan;K'ichean;K'iche';Santa Lucía La Reforma;15.133333;-91.233333
Mayan;K'ichean;K'iche';San Francisco El Alto;14.95;-91.45
Mayan;K'ichean;K'iche';Chinique;15.041111;-91.026944
Mayan;K'ichean;K'iche';San Cristóbal Totonicapán;14.919722;-91.44
Mayan;K'ichean;K'iche';Chichicastenango;14.944214;-91.110531
Mayan;K'ichean;K'iche';Cunén;15.337946;-91.026983
Mayan;K'ichean;K'iche';Nahualá;14.8429;-91.316963
Mayan;K'ichean;K'iche';Santa Clara La Laguna;14.716667;-91.3
Mayan;K'ichean;K'iche';Santa Lucía Utatlán;14.766667;-91.266667
Mayan;K'ichean;K'iche';Cantel;14.811222;-91.455511
Mayan;K'ichean;K'iche';Zunil;14.783611;-91.484444
Mayan;K'ichean;K'iche';San José Chiquilajá;14.883872;-91.482389
